State,District,Name,TRU,Level,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
28,536,Hyderabad,Total,DISTRICT,849051,3943323,2018575,1924748,469126,245127,223999,247927,124313,123614,48937,25556,23381,2892155,1542688,1349467,1413297,1045585,367712,1096081,861130,234951,317216,184455,132761,2530026,972990,1557036
28,537,Rangareddy,Total,DISTRICT,1235341,5296741,2701008,2595733,633172,327563,305609,652042,328011,324031,218757,112768,105989,3538028,1948784,1589244,2196078,1488916,707162,1834777,1308974,525803,361301,179942,181359,3100663,1212092,1888571
28,538,Mahbubnagar,Total,DISTRICT,869451,4053028,2050386,2002642,527230,273914,253316,708954,356099,352855,364269,187035,177234,1940646,1158386,782260,2082501,1140067,942434,1815643,1030499,785144,266858,109568,157290,1970527,910319,1060208
28,539,Nalgonda,Total,DISTRICT,875939,3488809,1759772,1729037,371735,193266,178469,637385,318359,319026,394279,203876,190403,2001019,1160757,840262,1741693,976428,765265,1493419,888549,604870,248274,87879,160395,1747116,783344,963772
28,540,Warangal,Total,DISTRICT,886279,3512576,1759281,1753295,341168,177444,163724,616102,307709,308393,530656,268976,261680,2065023,1179790,885233,1705655,960926,744729,1442197,865804,576393,263458,95122,168336,1806921,798355,1008566
28,541,Khammam,Total,DISTRICT,754034,2797370,1390988,1406382,281922,143956,137966,462896,229905,232991,765565,378532,387033,1630234,901640,728594,1410062,802906,607156,1215871,722620,493251,194191,80286,113905,1387308,588082,799226
28,542,Srikakulam,Total,DISTRICT,681330,2703114,1341738,1361376,281037,143835,137202,255664,125214,130450,166118,81382,84736,1495381,857824,637557,1290288,766483,523805,936244,619916,316328,354044,146567,207477,1412826,575255,837571
28,543,Vizianagaram,Total,DISTRICT,587149,2344474,1161477,1182997,241657,123300,118357,247728,121493,126235,235556,114687,120869,1238388,707503,530885,1157962,679289,478673,953215,602511,350704,204747,76778,127969,1186512,482188,704324
28,544,Visakhapatnam,Total,DISTRICT,1097042,4290589,2138910,2151679,452213,230630,221583,329486,162873,166613,618500,302905,315595,2568249,1422878,1145371,1889879,1239064,650815,1481139,1049748,431391,408740,189316,219424,2400710,899846,1500864
28,545,East Godavari,Total,DISTRICT,1428528,5154296,2569688,2584608,522054,265244,256810,945269,468883,476386,213195,104422,108773,3288577,1716933,1571644,2093681,1545831,547850,1748117,1377605,370512,345564,168226,177338,3060615,1023857,2036758
28,546,West Godavari,Total,DISTRICT,1091525,3936966,1964918,1972048,382887,194960,187927,811698,403693,408005,109072,53367,55705,2652389,1379223,1273166,1773112,1199338,573774,1534166,1100258,433908,238946,99080,139866,2163854,765580,1398274
28,547,Krishna,Total,DISTRICT,1243293,4517398,2267375,2250023,435884,225220,210664,871063,435412,435651,132464,66734,65730,3009718,1598959,1410759,2048880,1327299,721581,1744978,1193430,551548,303902,133869,170033,2468518,940076,1528442
28,548,Guntur,Total,DISTRICT,1296609,4887813,2440521,2447292,495729,254833,240896,957407,476333,481074,247089,125105,121984,2960441,1634726,1325715,2381624,1442370,939254,2106326,1334831,771495,275298,107539,167759,2506189,998151,1508038
28,549,Prakasam,Total,DISTRICT,860463,3397448,1714764,1682684,378261,195753,182508,787861,397242,390619,151145,76677,74468,1904435,1107686,796749,1700567,991842,708725,1463508,908090,555418,237059,83752,153307,1696881,722922,973959
28,550,Sri Potti Sriramulu Nellore,Total,DISTRICT,776854,2963557,1492974,1470583,304309,156907,147402,666588,332673,333915,285997,145168,140829,1832189,1011922,820267,1314561,859880,454681,1076544,761278,315266,238017,98602,139415,1648996,633094,1015902
28,551,Y.S.R.,Total,DISTRICT,706204,2882469,1451777,1430692,331586,172902,158684,465794,232123,233671,75886,38571,37315,1716766,994699,722067,1320404,823886,496518,1079903,734544,345359,240501,89342,151159,1562065,627891,934174
28,552,Kurnool,Total,DISTRICT,887652,4053463,2039227,2014236,506239,261217,245022,737945,370215,367730,82831,42052,40779,2127161,1246369,880792,2029425,1164122,865303,1757520,1054167,703353,271905,109955,161950,2024038,875105,1148933
28,553,Anantapur,Total,DISTRICT,968160,4081148,2064495,2016653,445956,231369,214587,583135,292379,290756,154127,78573,75554,2310960,1338474,972486,2036166,1208544,827622,1679655,1065582,614073,356511,142962,213549,2044982,855951,1189031
28,554,Chittoor,Total,DISTRICT,1039953,4174064,2090204,2083860,444572,230283,214289,785760,389582,396178,159165,79756,79409,2667878,1484794,1183084,1933357,1202223,731134,1669852,1087163,582689,263505,115060,148445,2240707,887981,1352726
29,555,Belgaum,Total,DISTRICT,983854,4779661,2423063,2356598,626269,323761,302508,577418,289096,288322,297198,148673,148525,3052032,1725548,1326484,2105668,1372422,733246,1734501,1238010,496491,371167,134412,236755,2673993,1050641,1623352
29,556,Bagalkot ,Total,DISTRICT,361149,1889752,950111,939641,271908,140551,131357,319149,158135,161014,97203,48470,48733,1113412,641388,472024,818081,511575,306506,676407,455410,220997,141674,56165,85509,1071671,438536,633135
29,557,Bijapur,Total,DISTRICT,408806,2177331,1111022,1066309,318406,164856,153550,442773,226440,216333,39314,19912,19402,1248268,730566,517702,927722,580111,347611,760083,508406,251677,167639,71705,95934,1249609,530911,718698
29,558,Bidar,Total,DISTRICT,319937,1703300,870665,832635,224442,115550,108892,399785,204280,195505,235822,119787,116035,1042673,597198,445475,702608,459050,243558,551763,384430,167333,150845,74620,76225,1000692,411615,589077
29,559,Raichur,Total,DISTRICT,363853,1928812,964511,964301,283733,145468,138265,400933,200359,200574,367071,182101,184970,979769,577213,402556,903413,530373,373040,725985,461421,264564,177428,68952,108476,1025399,434138,591261
29,560,Koppal,Total,DISTRICT,264595,1389920,699926,689994,201654,103016,98638,258608,129341,129267,164271,82761,81510,809085,468785,340300,654766,387974,266792,508089,329092,178997,146677,58882,87795,735154,311952,423202
29,561,Gadag,Total,DISTRICT,219096,1064570,537147,527423,132442,68025,64417,174196,87745,86451,61654,30975,30679,700177,397178,302999,495722,310412,185310,423451,282087,141364,72271,28325,43946,568848,226735,342113
29,562,Dharwad,Total,DISTRICT,382700,1847023,937206,909817,219942,113127,106815,177855,89137,88718,87548,44173,43375,1301664,711776,589888,784833,543776,241057,690948,500900,190048,93885,42876,51009,1062190,393430,668760
29,563,Uttara Kannada,Total,DISTRICT,324530,1437169,726256,710913,150115,76794,73321,116431,57841,58590,34239,17095,17144,1081906,582099,499807,608526,430565,177961,498304,380745,117559,110222,49820,60402,828643,295691,532952
29,564,Haveri,Total,DISTRICT,330414,1597668,819128,778540,195317,100369,94948,219976,112212,107764,141380,72109,69271,1085443,603793,481650,730066,490731,239335,601951,438760,163191,128115,51971,76144,867602,328397,539205
29,565,Bellary,Total,DISTRICT,489118,2452595,1236954,1215641,344152,175543,168609,517409,258582,258827,451406,225451,225955,1421621,813440,608181,1116880,703258,413622,969388,641681,327707,147492,61577,85915,1335715,533696,802019
29,566,Chitradurga,Total,DISTRICT,357003,1659456,840843,818613,184280,94629,89651,389117,196819,192298,302554,152939,149615,1087392,607188,480204,856587,513311,343276,667479,444024,223455,189108,69287,119821,802869,327532,475337
29,567,Davanagere,Total,DISTRICT,410176,1945497,986400,959097,217731,111793,105938,392595,198299,194296,233112,117808,115304,1308540,720637,587903,875207,585639,289568,705099,504373,200726,170108,81266,88842,1070290,400761,669529
29,568,Shimoga,Total,DISTRICT,406816,1752753,877415,875338,182751,93221,89530,308158,153546,154612,65412,32707,32705,1263016,674938,588078,780598,534487,246111,652789,480996,171793,127809,53491,74318,972155,342928,629227
29,569,Udupi,Total,DISTRICT,253078,1177361,562131,615230,103160,52689,50471,75429,36988,38441,52897,26228,26669,926429,465704,460725,513241,335399,177842,459446,309998,149448,53795,25401,28394,664120,226732,437388
29,570,Chikmagalur,Total,DISTRICT,276085,1137961,566622,571339,105328,53493,51835,253651,125016,128635,44970,21990,22980,818345,438257,380088,565774,357889,207885,480229,326255,153974,85545,31634,53911,572187,208733,363454
29,571,Tumkur,Total,DISTRICT,640081,2678980,1350594,1328386,265742,135671,130071,506901,254535,252366,209559,105265,104294,1813391,1006024,807367,1354646,837512,517134,1078431,738124,340307,276215,99388,176827,1324334,513082,811252
29,572,Bangalore,Total,DISTRICT,2393845,9621551,5022661,4598890,1052837,541656,511181,1198385,607725,590660,190239,99164,91075,7512276,4078041,3434235,4246927,3115361,1131566,3858342,2893953,964389,388585,221408,167177,5374624,1907300,3467324
29,573,Mandya,Total,DISTRICT,428625,1805769,905085,900684,172685,89063,83622,265294,131675,133619,22402,11310,11092,1149649,638668,510981,871408,575203,296205,714901,514148,200753,156507,61055,95452,934361,329882,604479
29,574,Hassan,Total,DISTRICT,433453,1776421,883667,892754,165637,83971,81666,345031,169961,175070,32329,15986,16343,1225256,668836,556420,903580,560452,343128,752387,512731,239656,151193,47721,103472,872841,323215,549626
29,575,Dakshina Kannada,Total,DISTRICT,439733,2089649,1034714,1054935,208297,106985,101312,148178,73324,74854,82268,40961,41307,1666323,864019,802304,997721,620903,376818,914476,582498,331978,83245,38405,44840,1091928,413811,678117
29,576,Kodagu,Total,DISTRICT,142716,554519,274608,279911,54733,27676,27057,73584,35759,37825,58054,28510,29544,412877,215302,197575,278938,172100,106838,258753,162419,96334,20185,9681,10504,275581,102508,173073
29,577,Mysore,Total,DISTRICT,700968,3001127,1511600,1489527,305561,155807,149754,536643,269331,267312,334547,166697,167850,1962180,1063766,898414,1314268,921803,392465,1082108,807031,275077,232160,114772,117388,1686859,589797,1097062
29,578,Chamarajanagar,Total,DISTRICT,244874,1020791,512231,508560,100648,51529,49119,259445,130894,128551,120219,59369,60850,565279,312957,252322,481693,324326,157367,381408,272121,109287,100285,52205,48080,539098,187905,351193
29,579,Gulbarga,Total,DISTRICT,471601,2566326,1301755,1264571,365372,188076,177296,648782,330091,318691,65259,32830,32429,1427368,828359,599009,1087028,680001,407027,844237,573207,271030,242791,106794,135997,1479298,621754,857544
29,580,Yadgir,Total,DISTRICT,202063,1174271,590329,583942,190279,97522,92757,273315,137204,136111,146849,73564,73285,510003,306751,203252,547696,317135,230561,437241,276472,160769,110455,40663,69792,626575,273194,353381
29,581,Kolar,Total,DISTRICT,333348,1536401,776396,760005,170423,86845,83578,465867,232546,233321,78875,39997,38878,1016219,564110,452109,717872,454048,263824,584590,394176,190414,133282,59872,73410,818529,322348,496181
29,582,Chikkaballapura,Total,DISTRICT,284698,1255104,636437,618667,132286,67734,64552,312565,157628,154937,156487,79156,77331,783222,442158,341064,639778,384452,255326,535565,341335,194230,104213,43117,61096,615326,251985,363341
29,583,Bangalore Rural,Total,DISTRICT,229279,990923,509172,481751,107062,54908,52154,213700,107424,106276,52903,27147,25756,688749,385311,303438,459891,315499,144392,389989,282416,107573,69902,33083,36819,531032,193673,337359
29,584,Ramanagara,Total,DISTRICT,260533,1082636,548008,534628,107841,54963,52878,203819,102612,101207,22946,11619,11327,674758,378461,296297,531459,344349,187110,458841,312618,146223,72618,31731,40887,551177,203659,347518
30,585,North Goa,Total,DISTRICT,191766,818008,416677,401331,77705,40081,37624,17606,8712,8894,56606,27824,28782,663060,351738,311322,327658,239125,88533,269437,202090,67347,58221,37035,21186,490350,177552,312798
30,586,South Goa,Total,DISTRICT,151845,640537,322463,318074,66906,34379,32527,7843,3915,3928,92669,45124,47545,502427,264085,238342,249590,180411,69179,206616,154877,51739,42974,25534,17440,390947,142052,248895
31,587,Lakshadweep,Total,DISTRICT,11574,64473,33123,31350,7255,3797,3458,0,0,0,61120,30515,30605,52553,28023,24530,18753,15318,3435,10804,9137,1667,7949,6181,1768,45720,17805,27915
32,588,Kasaragod,Total,DISTRICT,273410,1307375,628613,678762,155807,79460,76347,53283,26385,26898,48857,23950,24907,1037492,516476,521016,462998,325095,137903,372700,275680,97020,90298,49415,40883,844377,303518,540859
32,589,Kannur,Total,DISTRICT,554298,2523003,1181446,1341557,274318,139159,135159,83350,40260,43090,41371,20141,21230,2138434,1012956,1125478,824116,609377,214739,694209,539695,154514,129907,69682,60225,1698887,572069,1126818
32,590,Wayanad,Total,DISTRICT,190894,817420,401684,415736,92324,46994,45330,32578,16406,16172,151443,74476,76967,645585,328136,317449,340077,228639,111438,263445,191411,72034,76632,37228,39404,477343,173045,304298
32,591,Kozhikode,Total,DISTRICT,697710,3086293,1470942,1615351,335645,170429,165216,199191,97279,101912,15228,7429,7799,2615443,1266939,1348504,948981,752333,196648,754187,637099,117088,194794,115234,79560,2137312,718609,1418703
32,592,Malappuram,Total,DISTRICT,793999,4112920,1960328,2152592,574041,292132,281909,308266,151557,156709,22990,11272,11718,3311315,1597404,1713911,1062424,898157,164267,852047,748431,103616,210377,149726,60651,3050496,1062171,1988325
32,593,Palakkad,Total,DISTRICT,637220,2809934,1359478,1450456,302297,153696,148601,403833,197451,206382,48972,24314,24658,2239492,1122600,1116892,1042340,746121,296219,875540,653482,222058,166800,92639,74161,1767594,613357,1154237
32,594,Thrissur,Total,DISTRICT,759210,3121200,1480763,1640437,303950,155862,148088,324350,156480,167870,9430,4362,5068,2678548,1282261,1396287,1095727,789511,306216,929506,706277,223229,166221,83234,82987,2025473,691252,1334221
32,595,Ernakulam,Total,DISTRICT,814011,3282388,1619557,1662831,304242,155182,149060,268411,131573,136838,16559,8349,8210,2855676,1425723,1429953,1249343,913249,336094,1061388,812754,248634,187955,100495,87460,2033045,706308,1326737
32,596,Idukki ,Total,DISTRICT,279812,1108974,552808,556166,105641,53785,51856,145486,72399,73087,55815,27995,27820,923010,471881,451129,516363,331710,184653,415947,287566,128381,100416,44144,56272,592611,221098,371513
32,597,Kottayam,Total,DISTRICT,487296,1974551,968289,1006262,174486,88823,85663,153909,75503,78406,21972,10974,10998,1749798,861592,888206,735735,530322,205413,604553,463713,140840,131182,66609,64573,1238816,437967,800849
32,598,Alappuzha,Total,DISTRICT,535958,2127789,1013142,1114647,192046,98444,93602,201211,97183,104028,6574,3175,3399,1852797,890552,962245,804471,536738,267733,596387,434391,161996,208084,102347,105737,1323318,476404,846914
32,599,Pathanamthitta,Total,DISTRICT,322684,1197412,561716,635696,96837,49002,47835,164465,78942,85523,8108,3947,4161,1062553,499181,563372,392794,281854,110940,293257,223642,69615,99537,58212,41325,804618,279862,524756
32,600,Kollam,Total,DISTRICT,669375,2635375,1246968,1388407,254260,128899,125361,328263,157801,170462,10761,5195,5566,2240273,1074345,1165928,912025,644362,267663,695299,509909,185390,216726,134453,82273,1723350,602606,1120744
32,601,Thiruvananthapuram,Total,DISTRICT,837877,3301427,1581678,1719749,307061,156377,150684,372977,178589,194388,26759,12624,14135,2785408,1354857,1430551,1231669,864101,367568,921282,695778,225504,310387,168323,142064,2069758,717577,1352181
33,602,Thiruvallur,Total,DISTRICT,946949,3728104,1876062,1852042,405669,208449,197220,821646,410526,411120,47243,23692,23551,2791721,1495711,1296010,1538054,1103563,434491,1247918,945278,302640,290136,158285,131851,2190050,772499,1417551
33,603,Chennai,Total,DISTRICT,1154982,4646732,2335844,2310888,459324,235519,223805,779667,389001,390666,10061,5207,4854,3776276,1968079,1808197,1817297,1369302,447995,1619554,1256644,362910,197743,112658,85085,2829435,966542,1862893
33,604,Kancheepuram,Total,DISTRICT,1006245,3998252,2012958,1985294,431574,220341,211233,948081,474264,473817,41210,20605,20605,3013382,1611461,1401921,1673814,1181308,492506,1367378,1017443,349935,306436,163865,142571,2324438,831650,1492788
33,605,Vellore,Total,DISTRICT,929281,3936331,1961688,1974643,432550,222460,210090,860212,424668,435544,72955,36663,36292,2773928,1504355,1269573,1689330,1123874,565456,1360185,959108,401077,329145,164766,164379,2247001,837814,1409187
33,606,Tiruvannamalai,Total,DISTRICT,588836,2464875,1235889,1228986,272569,141205,131364,565329,282615,282714,90954,45956,44998,1626813,909803,717010,1238177,738995,499182,970072,619210,350862,268105,119785,148320,1226698,496894,729804
33,607,Viluppuram,Total,DISTRICT,800368,3458873,1740819,1718054,404106,208246,195860,1015716,510869,504847,74859,37570,37289,2195776,1234479,961297,1703249,1017383,685866,1260802,806396,454406,442447,210987,231460,1755624,723436,1032188
33,608,Salem,Total,DISTRICT,915967,3482056,1781571,1700485,344960,180002,164958,580512,294062,286450,119369,60489,58880,2285562,1285107,1000455,1694160,1083797,610363,1561030,1022417,538613,133130,61380,71750,1787896,697774,1090122
33,609,Namakkal   ,Total,DISTRICT,475511,1726601,869280,857321,150699,78754,71945,345392,173973,171419,57059,29383,27676,1176131,653312,522819,898245,531463,366782,839152,505257,333895,59093,26206,32887,828356,337817,490539
33,610,Erode,Total,DISTRICT,658071,2251744,1129868,1121876,195213,99943,95270,369483,184408,185075,21880,11024,10856,1492662,828300,664362,1195773,732083,463690,1111051,693728,417323,84722,38355,46367,1055971,397785,658186
33,611,The Nilgiris,Total,DISTRICT,197653,735394,360143,375251,66799,33648,33151,235878,115917,119961,32813,16091,16722,569647,299447,270200,349974,212172,137802,318924,195322,123602,31050,16850,14200,385420,147971,237449
33,612,Dindigul,Total,DISTRICT,560773,2159775,1080938,1078837,216576,111955,104621,452376,225573,226803,8064,4095,3969,1481834,816180,665654,1105155,665469,439686,963017,599831,363186,142138,65638,76500,1054620,415469,639151
33,613,Karur ,Total,DISTRICT,287095,1064493,528184,536309,102731,52969,49762,221385,108809,112576,575,297,278,727044,401726,325318,543298,329034,214264,508507,313811,194696,34791,15223,19568,521195,199150,322045
33,614,Tiruchirappalli,Total,DISTRICT,698404,2722290,1352284,1370006,272456,139946,132510,466561,230790,235771,18198,9414,8784,2038981,1087765,951216,1213979,789206,424773,1082329,724111,358218,131650,65095,66555,1508311,563078,945233
33,615,Perambalur  ,Total,DISTRICT,149243,565223,282157,283066,59567,31135,28432,175289,87444,87845,2584,1292,1292,375823,208011,167812,299726,162639,137087,255097,142768,112329,44629,19871,24758,265497,119518,145979
33,616,Ariyalur  ,Total,DISTRICT,197090,754894,374703,380191,81187,42808,38379,176230,88076,88154,10722,5274,5448,480604,269582,211022,359851,212547,147304,272241,173193,99048,87610,39354,48256,395043,162156,232887
33,617,Cuddalore,Total,DISTRICT,635578,2605914,1311697,1294217,279950,147644,132306,763944,383943,380001,15702,7943,7759,1815281,1000322,814959,1169880,749633,420247,837271,586068,251203,332609,163565,169044,1436034,562064,873970
33,618,Nagapattinam  ,Total,DISTRICT,413837,1616450,798127,818323,165245,84335,80910,509767,252332,257435,3756,1847,1909,1213008,640916,572092,671994,461174,210820,486328,357531,128797,185666,103643,82023,944456,336953,607503
33,619,Thiruvarur,Total,DISTRICT,327219,1264277,626693,637584,121973,62280,59693,430927,214717,216210,3034,1466,1568,946471,503085,443386,540168,369853,170315,412425,301528,110897,127743,68325,59418,724109,256840,467269
33,620,Thanjavur,Total,DISTRICT,605363,2405890,1182416,1223474,238598,121949,116649,455062,225859,229203,3561,1739,1822,1790998,944264,846734,974079,680483,293596,834484,604754,229730,139595,75729,63866,1431811,501933,929878
33,621,Pudukkottai,Total,DISTRICT,387679,1618345,803188,815157,179688,91696,87992,284804,141428,143376,1283,647,636,1110545,608776,501769,761693,471099,290594,640248,416281,223967,121445,54818,66627,856652,332089,524563
33,622,Sivaganga,Total,DISTRICT,338938,1339101,668672,670429,137235,70022,67213,227746,113599,114147,790,394,396,959744,526304,433440,620171,391305,228866,461102,312099,149003,159069,79206,79863,718930,277367,441563
33,623,Madurai,Total,DISTRICT,794887,3038252,1526475,1511777,313978,162517,151461,408976,205098,203878,11096,5622,5474,2273430,1223810,1049620,1354632,902704,451928,1173902,814086,359816,180730,88618,92112,1683620,623771,1059849
33,624,Theni  ,Total,DISTRICT,338112,1245899,625683,620216,119661,61873,57788,258200,129900,128300,1835,954,881,870080,479403,390677,591642,368900,222742,530591,338041,192550,61051,30859,30192,654257,256783,397474
33,625,Virudhunagar,Total,DISTRICT,537748,1942288,967709,974579,197134,100827,96307,399831,198704,201127,2294,1182,1112,1398788,760375,638413,950158,579111,371047,854066,535451,318615,96092,43660,52432,992130,388598,603532
33,626,Ramanathapuram,Total,DISTRICT,323905,1353445,682658,670787,140644,71705,68939,249008,125015,123993,1105,559,546,978946,536487,442459,602977,392751,210226,486150,333342,152808,116827,59409,57418,750468,289907,460561
33,627,Thoothukkudi,Total,DISTRICT,462010,1750176,865021,885155,183763,93605,90158,347895,172663,175232,4911,2466,2445,1349697,703106,646591,748095,503727,244368,657447,459993,197454,90648,43734,46914,1002081,361294,640787
33,628,Tirunelveli ,Total,DISTRICT,815528,3077233,1520912,1556321,321687,164157,157530,569714,279570,290144,10270,5109,5161,2273457,1210710,1062747,1436454,876175,560279,1271407,791067,480340,165047,85108,79939,1640779,644737,996042
33,629,Kanniyakumari,Total,DISTRICT,483539,1870374,926345,944029,182350,92835,89515,74249,36817,37432,7282,3554,3728,1548738,780541,768197,679620,524629,154991,552658,446895,105763,126962,77734,49228,1190754,401716,789038
33,630,Dharmapuri,Total,DISTRICT,375873,1506843,774303,732540,167940,87777,80163,245392,124706,120686,63044,32130,30914,917709,527599,390110,751170,446057,305113,652996,400551,252445,98174,45506,52668,755673,328246,427427
33,631,Krishnagiri,Total,DISTRICT,448053,1879809,960232,919577,217323,112832,104491,267386,135474,131912,22388,11419,10969,1187958,667062,520896,877779,561634,316145,742001,494409,247592,135778,67225,68553,1002030,398598,603432
33,632,Coimbatore,Total,DISTRICT,958035,3458045,1729297,1728748,319332,163230,156102,535911,266960,268951,28342,14245,14097,2635907,1394790,1241117,1567950,1083125,484825,1443252,1022328,420924,124698,60797,63901,1890095,646172,1243923
33,633,Tiruppur,Total,DISTRICT,712210,2479052,1246159,1232893,241351,123612,117739,395876,196907,198969,5458,2740,2718,1760566,959623,800943,1266137,819783,446354,1168596,772253,396343,97541,47530,50011,1212915,426376,786539
34,634,Yanam,Total,DISTRICT,13812,55626,27301,28325,6204,3230,2974,8427,4100,4327,0,0,0,39274,19919,19355,16760,14047,2713,15373,13233,2140,1387,814,573,38866,13254,25612
34,635,Puducherry,Total,DISTRICT,231513,950289,468258,482031,99838,50688,49150,152406,74129,78277,0,0,0,726649,380946,345703,348105,256652,91453,315570,237953,77617,32535,18699,13836,602184,211606,390578
34,636,Mahe,Total,DISTRICT,7420,41816,19143,22673,4553,2302,2251,144,77,67,0,0,0,36470,16610,19860,11802,9093,2709,10404,8295,2109,1398,798,600,30014,10050,19964
34,637,Karaikal,Total,DISTRICT,49705,200222,97809,102413,22263,11307,10956,35348,17206,18142,0,0,0,154916,79903,75013,68301,53139,15162,58342,46928,11414,9959,6211,3748,131921,44670,87251
35,638,Nicobars,Total,DISTRICT,9288,36842,20727,16115,4389,2256,2133,0,0,0,23681,12198,11483,25332,15397,9935,17125,12714,4411,9651,7948,1703,7474,4766,2708,19717,8013,11704
35,639,North  & Middle Andaman,Total,DISTRICT,26199,105597,54861,50736,11828,5991,5837,0,0,0,758,415,343,78683,43186,35497,38579,30612,7967,31038,25899,5139,7541,4713,2828,67018,24249,42769
35,640,South Andaman,Total,DISTRICT,59064,238142,127283,110859,24661,12523,12138,0,0,0,4091,2118,1973,190266,105794,84472,96831,77563,19268,85221,69772,15449,11610,7791,3819,141311,49720,91591
