State,District,Name,TRU,Level,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
23,446,Raisen,Total,DISTRICT,278895,1331597,700358,631239,207699,107499,100200,225891,119226,106665,205006,105627,99379,820220,479093,341127,517838,370366,147472,370241,301008,69233,147597,69358,78239,813759,329992,483767
23,447,Betul,Total,DISTRICT,329832,1575362,799236,776126,211433,108034,103399,159296,81621,77675,667018,333166,333852,939769,529783,409986,786980,453887,333093,511287,345729,165558,275693,108158,167535,788382,345349,443033
23,448,Harda ,Total,DISTRICT,113379,570465,294838,275627,84191,43667,40524,92865,48553,44312,159678,81446,78232,352550,203807,148743,230979,156852,74127,163781,127309,36472,67198,29543,37655,339486,137986,201500
23,449,Hoshangabad,Total,DISTRICT,257199,1241350,648725,592625,164602,85781,78821,205007,107237,97770,197300,101041,96259,810644,469199,341445,478082,345435,132647,361648,289812,71836,116434,55623,60811,763268,303290,459978
23,450,Katni ,Total,DISTRICT,289551,1292042,662013,630029,193395,99761,93634,155717,79369,76348,317699,159799,157900,790773,460583,330190,543874,348410,195464,316144,235991,80153,227730,112419,115311,748168,313603,434565
23,451,Jabalpur,Total,DISTRICT,539060,2463289,1277278,1186011,296565,154210,142355,348029,179858,168171,375231,189915,185316,1756468,980307,776161,1005624,705970,299654,744287,564532,179755,261337,141438,119899,1457665,571308,886357
23,452,Narsimhapur,Total,DISTRICT,250286,1091854,568810,523044,142250,74445,67805,184155,96079,88076,145879,74127,71752,718785,413491,305294,477818,323464,154354,358203,267439,90764,119615,56025,63590,614036,245346,368690
23,453,Dindori ,Total,DISTRICT,169630,704524,351913,352611,111820,56767,55053,39782,20366,19416,455789,225699,230090,378714,222759,155955,389925,203383,186542,250137,142645,107492,139788,60738,79050,314599,148530,166069
23,454,Mandla,Total,DISTRICT,250146,1054905,525272,529633,150263,76288,73975,48425,24652,23773,610528,299918,310610,604962,348033,256929,559649,300235,259414,325159,196325,128834,234490,103910,130580,495256,225037,270219
23,455,Chhindwara,Total,DISTRICT,443361,2090922,1064468,1026454,272289,139220,133069,232244,118465,113779,769778,385785,383993,1294198,731294,562904,957984,582263,375721,673845,464437,209408,284139,117826,166313,1132938,482205,650733
23,456,Seoni,Total,DISTRICT,314767,1379131,695879,683252,180784,92567,88217,130797,66830,63967,519856,258121,261735,864194,485341,378853,684434,394660,289774,397575,270675,126900,286859,123985,162874,694697,301219,393478
